,Country,Income,Country Code,Cost of a healthy diet [CoHD],Income/Minute,Required Time,Required Time Log
36,CY,33100.0,CYP,2.991,0.06297564687975647,47.4945498489426,3.8606149644351944
37,DK,48836.0,DNK,2.508,0.09291476407914764,26.992480956671308,3.295558344134466
38,DJ,3601.0,DJI,3.112,0.006851217656012177,454.2258261594002,6.118594488819808
39,DM,9245.0,DMA,4.345,0.017589421613394215,247.02347214710656,5.509483361048668
40,EC,10141.0,ECU,2.928,0.0192941400304414,151.75592150675476,5.022273450639607
41,EG,10744.0,EGY,3.369,0.020441400304414003,164.8125837676843,5.10480897237388
42,EE,30379.0,EST,3.35,0.05779870624048706,57.95977484446493,4.059749232773869
43,SZ,9359.0,SWZ,3.406,0.017806316590563167,191.28043594401112,5.253740602235778
44,ET,1782.0,ETH,3.407,0.0033904109589041097,1004.8929292929292,6.912636276800613
45,FJ,9110.0,FJI,3.914,0.017332572298325723,225.81760702524699,5.419727624872419
46,FI,41779.0,FIN,2.732,0.07948820395738204,34.36987960458604,3.5371805879340488
47,FR,40511.0,FRA,3.238,0.07707572298325722,42.01063414874972,3.737922780253023
48,GA,15794.0,GAB,3.553,0.030049467275494672,118.23836900088641,4.772702663133901
49,GM,1490.0,GMB,3.11,0.002834855403348554,1097.0577181208052,7.000387073404176
50,DE,46946.0,DEU,3.038,0.08931887366818873,34.012968090998164,3.5267418663372863
51,GH,4099.0,GHA,4.036,0.007798706240487062,517.5217370090265,6.249051528139563
52,GR,24909.0,GRC,3.14,0.047391552511415524,66.25653378297001,4.193534083142559
53,GD,12684.0,GRD,5.796,0.0241324200913242,240.1748344370861,5.481367134952736
54,GN,2211.0,GIN,4.127,0.00420662100456621,981.0724559023066,6.888646316065536
55,GW,1593.0,GNB,3.434,0.003030821917808219,1133.025988700565,7.032647198717773
56,GY,7615.0,GUY,4.887,0.01448820395738204,337.30889034799736,5.820999099111293
57,HT,1665.0,HTI,4.49,0.003167808219178082,1417.3837837837839,7.256568045492156
58,HN,4258.0,HND,3.486,0.008101217656012176,430.3056834194458,6.064495847796942
59,HK,60221.0,HKG,4.513,0.11457572298325723,39.38879792763321,3.6734814593207403
60,HU,27144.0,HUN,3.507,0.05164383561643836,67.90742705570291,4.218145410846513
61,IS,47566.0,ISL,2.42,0.09049847792998478,26.740781230290544,3.2861897870394903
62,IN,6829.0,IND,2.97,0.012992770167427701,228.58866598330653,5.431924170006057
63,ID,11256.0,IDN,4.466,0.021415525114155252,208.5402985074627,5.340132300776279
64,IR,18166.0,IRN,3.605,0.03456240487062405,104.3040845535616,4.647310522827292
65,IQ,15365.0,IRQ,3.54,0.02923325722983257,121.09495606898797,4.796574998733636
66,IE,55660.0,IRL,2.204,0.10589802130898021,20.812475745598277,3.035552602363324
67,IL,33650.0,ISR,2.473,0.0640220700152207,38.62730460624071,3.6539593996189432
68,IT,36141.0,ITA,3.154,0.06876141552511415,45.86874740599319,3.825784000758422
69,JM,7932.0,JAM,6.681,0.015091324200913242,442.70468986384265,6.092902933456191
70,JP,40799.0,JPN,5.647,0.07762366818873669,72.74843010858109,4.287007326555276
71,JO,8268.0,JOR,3.614,0.015730593607305936,229.7433962264151,5.436963017520916
72,KZ,22168.0,KAZ,2.657,0.0421765601217656,62.99707686755684,4.1430883263874
73,KE,3052.0,KEN,2.968,0.005806697108066971,511.1339449541285,6.236631679053325
74,KW,71164.0,KWT,3.606,0.1353957382039574,26.63303917711202,3.282152519378997
75,LV,26301.0,LVA,3.269,0.050039954337899546,65.32779742215125,4.179417633637916
76,LS,3244.0,LSO,4.266,0.006171993911719939,691.186683107275,6.538409950966393
77,LR,1040.0,LBR,3.907,0.0019786910197869103,1974.5376923076922,7.588089570090053
78,LT,29775.0,LTU,3.132,0.056649543378995436,55.28729471032746,4.012543130057594
79,LU,65543.0,LUX,2.576,0.12470129375951294,20.657363867995056,3.028071859616027
80,MG,1404.0,MDG,3.181,0.002671232876712329,1190.8358974358973,7.0824107743337885
81,MW,1159.0,MWI,3.149,0.0022050989345509895,1428.0538395168248,7.264067844931674
82,MY,27227.0,MYS,3.538,0.05180175038051751,68.29885040584713,4.2238929348955185
83,MV,12549.0,MDV,3.861,0.023875570776255708,161.71341142720536,5.085825703324329
84,ML,1965.0,MLI,3.053,0.0037385844748858447,816.6192366412214,6.705172935601917
85,MT,34795.0,MLT,3.824,0.06620053272450532,57.76388561574939,4.056363764062742
86,MR,3746.0,MRT,3.6921,0.007127092846270928,518.0373091297384,6.250047265012768
87,MU,22724.0,MUS,3.604,0.04323439878234399,83.35954937511002,4.423163172221612
88,MX,17628.0,MEX,3.074,0.03353881278538813,91.65500340367596,4.518031565307064
89,MN,10784.0,MNG,5.115,0.020517503805175037,249.29933234421367,5.518654312404039
90,ME,17511.0,MNE,3.511,0.0333162100456621,105.38413568614016,4.657612109466933
91,MA,7480.0,MAR,2.797,0.014231354642313546,196.53786096256687,5.280855089403838
92,MZ,1154.0,MOZ,3.228,0.0021955859969558598,1470.2225303292896,7.293169049492195
93,MM,5764.0,MMR,3.925,0.010966514459665145,357.90770298403885,5.880275140267496
94,,9683.0,NAM,3.52,0.01842275494672755,191.068057420221,5.252629686151012
95,NP,2748.0,NPL,4.403,0.005228310502283105,842.1458515283842,6.735953219583915
96,NL,50013.0,NLD,3.0,0.0951541095890411,31.527802771279468,3.450869784204507
97,NZ,35108.0,NZL,2.817,0.06679604261796043,42.17315711518742,3.741783931334765
98,NI,4790.0,NIC,3.335,0.009113394216133943,365.944885177453,5.902482735115163
99,NE,912.0,NER,2.902,0.001735159817351598,1672.4684210526318,7.422055910540203
100,NG,5086.0,NGA,4.016,0.009676560121765602,415.02351553283523,6.028335182559901
101,MK,12874.0,MKD,3.427,0.02449391171993912,139.9123194034488,4.941015936432448
102,NO,68059.0,NOR,3.488,0.12948820395738203,26.936816585609545,3.2934939971703296
103,OM,37039.0,OMN,3.021,0.07046993911719938,42.869343124814385,3.758156958001578
104,PK,5190.0,PAK,3.685,0.009874429223744293,373.18612716763005,5.922077295633903
105,PA,20455.0,PAN,4.476,0.03891742770167428,115.01274016132975,4.745042906238718
106,PY,11720.0,PRY,3.543,0.022298325722983257,158.89085324232082,5.068217508904869
107,PE,12323.0,PER,3.133,0.02344558599695586,133.6285644729368,4.895064044184469
108,PH,9540.0,PHL,4.118,0.018150684931506848,226.87849056603778,5.424414590315804
109,PL,27626.0,POL,3.21,0.052560882800608826,61.0720335915442,4.112054046034557
110,PT,27935.0,PRT,2.642,0.05314878234398782,49.7095113656703,3.9061962903594223
111,QA,110489.0,QAT,2.577,0.2102149923896499,12.258878259374237,2.506250430349316
112,RO,23906.0,ROU,3.207,0.045483257229832576,70.50946205973395,4.25574691442563
113,RU,25036.0,RUS,4.052806019999999,0.04763318112633181,85.08367327496404,4.443635163764931
114,RW,1959.0,RWA,2.698,0.0037271689497716896,723.8738131699847,6.584617085993561
115,ST,3024.0,STP,3.634,0.005753424657534247,631.6238095238095,6.448293978827094
116,SA,49338.0,SAU,4.148,0.09386986301369862,44.188836191171106,3.7884721823208682
117,SN,3256.0,SEN,2.33,0.00619482496194825,376.1203931203931,5.929909286607716
118,RS,15218.0,SRB,4.268,0.028953576864535768,147.40838480746484,4.993206862855577
119,SC,25077.0,SYC,3.784,0.04771118721461187,79.31053953822227,4.373371026974904
120,SL,1381.0,SLE,2.893,0.002627473363774734,1101.0577842143373,7.004026618737243
121,SG,83793.0,SGP,3.064,0.15942351598173515,19.21924743116967,2.955912247269289
122,SI,32143.0,SVN,3.095,0.06115487062404871,50.609215070155244,3.9241336757232856
123,ZA,11756.0,ZAF,4.299,0.02236681887366819,192.20435522286493,5.258559156127874
124,ES,35041.0,ESP,2.841,0.0666685692541857,42.61378385320054,3.7521777655686996
125,LK,11611.0,LKA,3.923,0.02209094368340944,177.58408405822064,5.179444209752947
126,SD,3962.0,SDN,4.308,0.007538051750380518,571.500454316002,6.348265278188184
127,SR,11933.0,SUR,5.739,0.02270357686453577,252.77955250146653,5.532517774909108
128,SE,47955.0,SWE,3.309,0.09123858447488585,36.267550828902095,3.5909234249299615
129,CH,59375.0,CHE,2.639,0.11296613394216135,23.360983578947366,3.1510672623367824
130,TJ,3482.0,TJK,3.468,0.006624809741248097,523.4867317633544,6.260511684742699
131,TZ,2805.0,TZA,2.736,0.00533675799086758,512.6708021390375,6.239633927956045
132,TH,16129.0,THA,4.321,0.030686834094368343,140.80957281914561,4.947408430185151
133,TT,28497.0,TTO,4.224,0.054218036529680366,77.90765343720392,4.355524194998206
134,TN,10677.0,TUN,3.639,0.02031392694063927,179.1381848833942,5.188157490604258
135,UG,1752.0,UGA,2.671,0.0033333333333333335,801.2999999999998,6.686235408784024
136,AE,66912.0,ARE,3.111,0.12730593607305937,24.43719512195122,3.1961063618396777
137,GB,39507.0,GBR,1.911,0.07516552511415525,25.423889437314905,3.235689261032344
138,US,56140.0,USA,3.383,0.10681126331811264,31.672689704310653,3.4554547860352356
139,UY,19435.0,URY,3.414,0.036976788432267885,92.32819140725495,4.525349527238463
140,VN,6220.0,VNM,4.072,0.011834094368340944,344.0905466237942,5.840904839667534
141,ZM,3582.0,ZMB,3.3,0.006815068493150685,484.22110552763814,6.182541632004315
